tweets,favorites,followers,friends,listed,fav,rt
583026,487433,1862,304,248,0,30
6596,10406,137,166,10,5,0
52636,16900,1374,982,60,1,0
11250,10479,464,534,18,0,0
583026,487433,1862,304,248,0,23
583026,487433,1862,304,248,0,42
7459,2345,151,530,4,2,0
16882,3578,852,408,9,8,0
454,216,119,128,0,0,42
36202,11293,721,162,34,2,1
583026,487433,1862,304,248,0,95
272270,53285,15453,7516,440,3,0
1850,3337,150,244,6,2,0
583026,487433,1862,304,248,0,18
29111,32401,3152,3457,85,4,0
1645,3218,98,219,5,8,1
19949,21550,718,767,76,5,0
21899,11570,609,1003,29,0,1
260014,105022,4065,1442,107,0,2
45483,27751,4596,2665,175,3,0
41856,42865,3033,2867,26,1,0
583026,487433,1862,304,248,0,38
260353,34675,5167,5601,188,2,1
66655,66919,789,585,44,1,0
79950,103268,856,4154,20,2,0
583026,487433,1862,304,248,0,46
10323,36127,658,686,21,5,2
1517,7601,487,767,1,4,0
8637,3986,113,69,2,14,1
4173,13887,1203,1178,4,2,1
583026,487433,1862,304,248,0,21
47,110,315,20,7,0,4
35757,55651,621,971,18,0,1
583026,487433,1862,304,248,0,18
1943,4171,176,668,4,5,1
23903,33319,205,666,17,0,42
6185,3838,152,259,2,2,0
45326,37179,3560,5001,115,0,1
4014,5619,163,209,1,0,30
4526,25735,109,226,8,0,42
14737,2140,369,257,7,3,0
4194,1306,1649,2479,37,1,0
73350,124142,1984,3026,81,3,0
4306,1098,54,452,2,1,0
41856,42865,3033,2867,26,2,0
4419,2113,5058,1162,86,0,1
29111,32401,3152,3457,85,2,0
16882,3578,852,408,9,3,0
4587,1856,47,209,1,4,1
10808,16683,290,172,10,0,0
40749,45203,631,900,48,0,95
2487,3007,24,159,9,1,0
35757,55651,621,971,18,0,1
1099,5198,257,670,1,0,42
2301,16,21,55,0,0,2
29240,232,464,219,10,0,42
21899,11570,609,1003,29,5,0
872153,78090,129682,1187,339,0,54
527,247,95,168,0,0,95
147277,824,1243,1906,117,3,0
4628,12852,504,1182,18,6,0
17436,5011,6173,6510,147,0,42
255284,69337,2411,3133,110,1,0
161036,7039,4693,674,86,0,42
76709,42361,948,2369,52,0,0
40749,45203,631,900,48,0,54
35757,55651,621,971,18,0,42
9183,9379,288,129,16,2,0
227470,63120,16452,1000,1286,0,42
1517,7601,487,767,1,1,0
22386,9796,897,759,60,2,0
16882,3578,852,408,9,5,0
4587,1856,47,209,1,2,0
2301,16,21,55,0,1,0
7459,2345,151,530,4,1,0
45750,525,168,134,17,1,0
10323,36127,658,686,21,0,42
18139,30872,395,290,21,0,42
6202,3198,370,721,38,0,30
272270,53285,15453,7516,440,0,0
5605,2604,68,127,5,0,0
7140,10145,205,996,1,0,42
27679,13979,790,1096,35,0,42
41584,29465,900,593,36,0,1
3791,1548,4291,4113,78,0,20
8637,3986,113,69,2,0,42
161036,7039,4693,674,86,4,0
18139,30872,395,290,21,3,0
8637,3986,113,69,2,4,0
6185,3838,152,259,2,1,0
13713,20388,446,1054,71,12,1
9060,3580,62883,565,363,279,42
9060,3580,62883,565,363,2,0
272270,53285,15453,7516,440,3,0
79950,103268,856,4154,20,2,0
260353,34675,5167,5601,188,1,1
16882,3578,852,408,9,3,0
4306,1098,54,452,2,1,0
54372,2458,846,2191,60,1,0
1320,18175,64,233,2,0,54
5589,24,587,326,25,1,0
10323,36127,658,686,21,3,0
45326,37179,3560,5001,115,4,0
1094,4764,334,106,5,0,1
5210,10685,1779,1432,49,10,1
504,604,49,151,1,2,0
1943,4171,176,668,4,2,0
260353,34675,5167,5601,188,2,0
9376,8579,8013,143,139,0,54
11731,1,353,1,6,0,2
21899,11570,609,1003,29,2,0
17756,14361,885,1255,70,3,0
147277,824,1243,1906,117,7,1
34724,33580,996,832,41,0,54
66655,66919,789,585,44,0,2
15964,890,66,106,4,0,1
4302,1543,142,30,6,14,1
66655,66919,789,585,44,0,1
6202,3198,370,721,38,0,54
8637,3986,113,69,2,0,1
41584,29465,900,593,36,3,0
11250,10479,464,534,18,2,0
66655,66919,789,585,44,0,1
14737,2140,369,257,7,2,0
1517,7601,487,767,1,0,1
66655,66919,789,585,44,0,2
22895,11795,62,341,7,1,0
4173,13887,1203,1178,4,0,3
2301,16,21,55,0,0,1
131445,100710,1580,547,50,0,2
35757,55651,621,971,18,0,1
18956,10912,544,739,13,8,1
35757,55651,621,971,18,0,2
66655,66919,789,585,44,0,1
231339,17177,4947,3834,389,4,0
260353,34675,5167,5601,188,1,0
16882,3578,852,408,9,8,1
76709,42361,948,2369,52,1,0
66655,66919,789,585,44,0,54
3769,148,94,198,1,0,30
11250,10479,464,534,18,2,0
34712,6011,3551,746,205,3,0
9060,3580,62883,565,363,2,0
66655,66919,789,585,44,0,1
1869,2695,40,71,0,1,0
35565,7295,1312,589,83,7,2
20544,54013,177,97,22,0,0
3769,148,94,198,1,0,21
12072,1143,391,727,20,0,14
4628,12852,504,1182,18,3,2
6185,3838,152,259,2,4,0
1976,1009,119,156,8,0,0
6093,21061,167,384,7,0,2
5889,11208,352,3166,2,0,1
4841,9644,245,387,7,7,2
2305,5133,36,149,3,3,0
98296,2324,1075,917,69,1,0
66655,66919,789,585,44,0,2
80500,16227,1779,3449,431,1,0
2018,6545,977,576,3,7,1
6292,20229,916,1023,42,1,0
30506,648,562,459,14,0,3
20597,66653,1306,1345,41,2,0
5889,11208,352,3166,2,0,1
21899,11570,609,1003,29,1,0
1828,2152,40,173,0,0,54
369023,59440,2163,1386,208,3,0
66655,66919,789,585,44,0,2
778,831,88,95,1,0,95
35757,55651,621,971,18,0,1
3769,148,94,198,1,0,95
8536,16055,344,907,14,0,0
35757,55651,621,971,18,0,3
2268,3718,63,434,3,5,0
6093,21061,167,384,7,0,54
18310,47164,194,448,9,0,54
3769,148,94,198,1,0,54
12667,268231,601,155,24,0,4
147277,824,1243,1906,117,0,4
30355,71604,440,970,52,0,1
131445,100710,1580,547,50,0,1
66655,66919,789,585,44,0,1
45326,37179,3560,5001,115,0,4
6202,3198,370,721,38,0,0
9060,3580,62883,565,363,6,0
4194,1306,1649,2479,37,2,0
35757,55651,621,971,18,1,0
41584,29465,900,593,36,0,4
52636,16900,1374,982,60,7,0
20544,54013,177,97,22,7,3
7853,1574,64,118,4,0,3
13713,20388,446,1054,71,4,1
245,1301,199,566,1,0,95
2301,16,21,55,0,0,2
260353,34675,5167,5601,188,4,0
167,1030,18,116,0,0,30
21899,11570,609,1003,29,0,1
231339,17177,4947,3834,389,3,0
91143,16167,36597,4039,1057,6,0
