pressure,performance
0,0.032754343
1,0.005749633
2,0.008234514
3,0.020662191
4,-0.02563127
5,0.026303527
6,0.014202464
7,0.05906269
8,0.010572004
9,0.016939891
10,0.032406516
11,0.045627058
12,0.05505755
13,0.037818927
14,0.088016155
15,0.117233913
16,0.101846444
17,0.129835376
18,0.107144523
19,0.092006925
20,0.204217334
21,0.126528343
22,0.159909954
23,0.215067862
24,0.202030519
25,0.284648842
26,0.340504484
27,0.329555989
28,0.38699898
29,0.391041622
30,0.406140998
31,0.479726732
32,0.54260141
33,0.53654745
34,0.560081474
35,0.594038977
36,0.643400807
37,0.675882547
38,0.771835684
39,0.748600065
40,0.836957934
41,0.811829336
42,0.862388325
43,0.933858107
44,0.967450973
45,0.909883964
46,0.92790686
47,1.030844671
48,0.974390669
49,0.988618582
50,1.03274074
51,0.963561882
52,1.041741103
53,1.008735394
54,0.964630336
55,0.931328905
56,0.879704607
57,0.911457634
58,0.829996931
59,0.863575505
60,0.835587567
61,0.821855331
62,0.708803092
63,0.65862018
64,0.642169367
65,0.644659745
66,0.551980383
67,0.597992144
68,0.539449435
69,0.428955912
70,0.447514488
71,0.443396675
72,0.366196138
73,0.362490655
74,0.256262621
75,0.249519101
76,0.293238958
77,0.196322338
78,0.233423791
79,0.130072518
80,0.112071114
81,0.184072378
82,0.100842965
83,0.114372735
84,0.077145841
85,0.086217004
86,0.113927909
87,0.063325668
88,0.050971467
89,0.072208716
90,0.064095338
91,-0.01132907
92,0.02439996
93,0.054014447
94,0.011263383
95,-0.017294165
96,0.033652699
97,0.014597777
98,-0.030488854
99,-0.008258112
100,0.039628413
